[HEADER]
17-10-2022
11:42:16


[DATA]
[s]	[±0.008 bar]
time	pres
1.240	0.010
1.241	0.018
1.242	0.024
1.243	0.017
1.244	0.007
1.245	0.020
1.246	0.010
1.247	0.007
1.248	-0.002
1.249	-0.005
1.250	0.011
1.251	0.003
1.252	0.025
1.253	0.041
1.254	0.030
1.255	0.029
1.256	0.020
1.257	0.033
1.258	0.010
1.259	0.005
1.260	0.006
1.261	-0.013
1.262	0.011
1.263	0.012
1.264	0.019
1.265	0.016
1.266	0.005
1.267	-0.021
1.269	-0.012
1.269	-0.024
1.270	-0.014
1.271	-0.014
1.272	0.031
1.273	0.024
1.274	0.040
1.275	0.031
1.276	0.024
1.277	0.019
1.278	0.012
1.279	-0.014
1.280	-0.018
1.281	0.021
1.282	-0.006
1.283	-0.006
1.284	-0.000
1.285	-0.007
1.287	0.019
1.288	0.035
1.288	0.010
1.289	-0.002
1.290	-0.006
1.291	0.014
1.292	-0.012
1.293	0.021
1.294	0.006
1.295	0.016
1.296	-0.013
1.297	-0.018
1.298	0.024
1.299	0.021
1.300	0.014
1.301	-0.001
1.302	-0.001
1.303	0.014
1.304	0.019
1.305	0.017
1.306	-0.016
1.307	0.007
1.308	0.001
1.309	0.004
1.310	0.017
1.311	0.013
1.312	0.005
1.313	-0.003
1.314	0.016
1.315	0.022
1.316	0.031
1.317	0.014
1.319	0.038
1.319	0.025
1.320	0.017
1.321	-0.031
1.322	-0.003
1.323	0.031
1.324	0.029
1.325	0.026
1.326	0.041
1.327	0.006
1.328	0.025
1.329	0.027
1.330	0.020
1.331	-0.011
1.333	-0.020
1.333	-0.004
1.334	-0.000
1.335	-0.001
1.336	-0.003
1.338	0.002
1.338	-0.021
1.339	0.019
1.340	0.017
1.341	-0.003
1.342	0.016
1.343	0.002
1.344	-0.016
1.345	0.008
1.346	0.002
1.347	0.027
1.348	0.017
1.349	0.018
1.350	0.041
1.351	0.021
1.353	0.004
1.354	0.003
1.354	0.012
1.355	-0.005
1.356	0.026
1.357	-0.016
1.358	0.014
1.359	0.007
1.360	-0.018
1.361	0.009
1.362	0.025
1.363	0.023
1.364	0.009
1.365	0.005
1.366	-0.022
1.367	-0.020
1.368	-0.028
1.370	-0.012
1.370	-0.005
1.371	0.023
1.372	0.020
1.373	0.022
1.374	0.043
1.375	0.013
1.376	0.002
1.377	0.002
1.378	-0.010
1.379	0.009
1.380	0.025
1.381	0.010
1.382	0.012
1.383	0.036
1.384	0.000
1.385	-0.027
1.386	-0.015
1.387	-0.012
1.388	-0.006
1.389	-0.006
1.390	0.005
1.391	-0.010
1.392	-0.027
1.393	-0.007
1.394	-0.004
1.395	0.003
1.396	-0.000
1.397	-0.011
1.398	-0.015
1.399	-0.001
1.400	0.039
1.401	0.022
1.403	0.009
1.403	0.017
1.404	0.027
1.405	-0.007
1.406	0.005
1.407	-0.008
1.408	0.013
1.409	0.017
1.410	0.014
1.411	0.007
1.412	0.012
1.413	0.004
1.414	-0.013
1.415	-0.014
1.416	0.008
1.417	-0.015
1.418	0.002
1.420	-0.014
1.420	-0.002
1.421	-0.006
1.422	-0.008
1.423	0.004
1.424	0.022
1.425	-0.006
1.426	0.004
1.427	0.013
1.428	-0.028
1.429	-0.029
1.430	0.020
1.431	0.002
1.432	-0.018
1.433	0.009
1.434	0.009
1.435	0.018
1.436	-0.012
1.437	0.003
1.438	-0.009
1.439	-0.014
1.440	-0.015
1.441	0.035
1.442	-0.002
1.443	-0.033
1.444	-0.014
1.445	0.020
1.446	-0.004
1.447	0.024
1.449	0.012
1.449	0.028
1.450	0.016
1.451	0.007
1.452	-0.004
1.453	-0.014
1.454	0.004
1.455	-0.014
1.456	0.009
1.457	0.024
1.458	-0.004
1.459	0.011
1.460	0.009
1.461	0.019
1.462	0.015
1.463	-0.002
1.464	0.018
1.465	0.000
1.466	-0.009
1.467	0.010
1.468	0.014
1.469	0.002
1.471	-0.003
1.471	0.008
1.482	0.002
1.482	0.021
1.482	0.013
1.482	0.009
1.482	0.003
1.482	0.021
1.482	0.016
1.482	-0.008
1.482	-0.014
1.482	-0.011
1.482	0.002
1.483	0.028
1.484	0.006
1.485	0.005
1.486	0.013
1.487	0.013
1.488	0.006
1.489	0.022
1.490	0.005
1.491	0.001
1.492	-0.001
1.493	0.022
1.494	0.009
1.495	-0.012
1.496	-0.008
1.497	0.020
1.498	0.009
1.499	0.012
1.500	0.002
1.501	0.022
1.502	0.014
1.503	0.023
1.504	0.032
1.505	0.010
1.506	0.006
1.507	0.023
1.508	0.034
1.509	0.004
1.510	0.005
1.511	0.007
1.512	0.006
1.513	0.004
1.514	0.024
1.515	0.005
1.516	-0.009
1.517	-0.003
1.518	-0.008
1.519	-0.001
1.520	0.009
1.521	0.009
1.522	0.028
1.523	0.007
1.524	-0.020
1.525	-0.000
1.526	0.012
1.527	-0.000
1.528	-0.013
1.529	-0.019
1.530	-0.016
1.531	0.000
1.532	-0.004
1.533	-0.012
1.534	0.003
1.535	0.021
1.536	0.026
1.537	0.006
1.538	-0.014
1.539	-0.015
1.540	0.035
1.541	0.051
1.542	0.013
1.543	0.002
1.544	0.011
1.545	0.013
1.546	-0.007
1.547	-0.018
1.548	-0.007
1.550	0.006
1.550	0.006
1.551	-0.015
1.552	-0.000
1.553	0.014
1.554	0.019
1.555	0.011
1.556	-0.011
1.557	-0.016
1.558	0.007
1.559	0.019
1.560	0.013
1.561	0.013
1.562	-0.004
1.563	0.002
1.564	0.011
1.565	0.019
1.567	0.010
1.567	-0.001
1.568	0.025
1.569	0.023
1.570	0.033
1.571	0.025
1.572	-0.005
1.573	0.011
1.574	0.011
1.575	-0.027
1.576	-0.018
1.577	-0.006
1.578	0.007
1.579	-0.010
1.580	-0.011
1.581	-0.011
1.583	-0.002
1.583	-0.014
1.584	0.001
1.585	0.009
1.586	0.023
1.587	0.038
1.588	0.002
1.589	0.001
1.590	-0.001
1.592	-0.013
1.593	-0.016
1.594	-0.002
1.594	0.025
1.595	0.010
1.596	0.013
1.597	0.025
1.598	0.032
1.599	0.024
1.600	-0.004
1.601	-0.009
1.602	0.000
1.603	0.004
1.604	0.017
1.605	0.001
1.606	0.004
1.607	0.010
1.608	0.011
1.609	0.013
1.610	0.002
1.611	0.008
1.612	0.017
1.613	0.012
1.614	-0.012
1.616	0.003
1.617	0.017
1.617	0.017
1.618	0.034
1.619	0.007
1.620	0.008
1.621	0.025
1.622	0.019
1.623	0.034
1.624	0.022
1.625	-0.003
1.626	-0.003
1.627	-0.019
1.628	-0.024
1.629	-0.024
1.630	0.001
1.631	0.007
1.632	-0.014
1.633	0.002
